Date,Open,High,Low,Close,Adj Close,Volume
2015-08-06,278.000000,279.600006,274.279999,277.890015,277.890015,11919665
2015-08-07,277.890015,278.920013,257.420013,258.600006,258.600006,22308123
2015-08-08,258.600006,266.750000,258.559998,263.869995,263.869995,15154749
2015-08-09,263.869995,266.630005,260.519989,263.299988,263.299988,12873441
2015-08-10,263.299988,269.899994,261.440002,269.029999,269.029999,13681939
2015-08-11,269.029999,271.500000,263.660004,267.660004,267.660004,15232934
2015-08-12,267.660004,268.390015,261.279999,263.440002,263.440002,14962211
2015-08-13,263.440002,267.220001,260.209991,265.029999,265.029999,13899139
2015-08-14,265.029999,266.549988,259.380005,260.519989,260.519989,10303301
2015-08-15,260.519989,261.920013,254.570007,257.119995,257.119995,17880398
2015-08-16,257.119995,259.929993,252.869995,257.130005,257.130005,12378054
