-5,5.0067
-4.899,4.9064
-4.798,4.8062
-4.697,4.7061
-4.596,4.606
-4.4949,4.5061
-4.3939,4.4062
-4.2929,4.3065
-4.1919,4.2069
-4.0909,4.1075
-3.9899,4.0082
-3.8889,3.9092
-3.7879,3.8103
-3.6869,3.7116
-3.5859,3.6132
-3.4848,3.515
-3.3838,3.4172
-3.2828,3.3197
-3.1818,3.2225
-3.0808,3.1257
-2.9798,3.0294
-2.8788,2.9335
-2.7778,2.8381
-2.6768,2.7433
-2.5758,2.6491
-2.4747,2.5556
-2.3737,2.4628
-2.2727,2.3708
-2.1717,2.2797
-2.0707,2.1895
-1.9697,2.1003
-1.8687,2.0122
-1.7677,1.9253
-1.6667,1.8397
-1.5657,1.7554
-1.4646,1.6726
-1.3636,1.5914
-1.2626,1.5118
-1.1616,1.4339
-1.0606,1.3579
-0.9596,1.2839
-0.85859,1.2119
-0.75758,1.142
-0.65657,1.0744
-0.55556,1.009
-0.45455,0.94603
-0.35354,0.88546
-0.25253,0.82736
-0.15152,0.77177
-0.050505,0.71872
0.050505,0.66821
0.15152,0.62026
0.25253,0.57483
0.35354,0.53192
0.45455,0.49148
0.55556,0.45346
0.65657,0.41781
0.75758,0.38445
0.85859,0.3533
0.9596,0.32429
1.0606,0.29732
1.1616,0.2723
1.2626,0.24913
1.3636,0.22772
1.4646,0.20796
1.5657,0.18975
1.6667,0.17301
1.7677,0.15763
1.8687,0.14352
1.9697,0.13059
2.0707,0.11876
2.1717,0.10794
2.2727,0.098062
2.3737,0.089047
2.4747,0.080828
2.5758,0.07334
2.6768,0.066523
2.7778,0.06032
2.8788,0.05468
2.9798,0.049555
3.0808,0.044899
3.1818,0.040672
3.2828,0.036835
3.3838,0.033355
3.4848,0.030198
3.5859,0.027336
3.6869,0.024742
3.7879,0.022391
3.8889,0.020261
3.9899,0.018333
4.0909,0.016586
4.1919,0.015004
4.2929,0.013572
4.3939,0.012276
4.4949,0.011103
4.596,0.010042
4.697,0.0090815
4.798,0.0082126
4.899,0.0074265
5,0.0067153
